3,Julia,30,Ovejero,No,H
4,Gwyneth,96,Ovejero,No,H
5,Cyril,9,Caniche,No,H
6,Clementine,69,Bulldog,Si,H
8,Judith,43,Collie,Si,H
9,Alvie,78,Ovejero,Si,H
10,Sapphira,13,Callejero,Si,H
11,Hube,54,Caniche,Si,H
13,Harriett,47,Caniche,No,H
15,Annemarie,37,Ovejero,No,H
16,Karita,6,Callejero,No,H
17,Ame,72,Callejero,Si,H
18,Madison,8,Collie,No,H
20,Fred,12,Caniche,No,H
21,Kin,51,Bulldog,No,H
22,Fritz,65,Ovejero,No,H
24,Shirline,31,Collie,No,H
27,Toby,89,Bulldog,Si,H
28,Bryana,34,Collie,No,H
29,Brittni,59,Ovejero,Si,H
34,Karin,82,Ovejero,Si,H
38,Brand,55,Collie,Si,H
39,Maxy,10,Collie,No,H
40,Kleon,75,Bulldog,No,H
41,Zelda,62,Collie,Si,H
42,Wernher,66,Ovejero,No,H
43,Laird,18,Callejero,No,H
44,Brita,48,Bulldog,Si,H
45,Isobel,100,Caniche,Si,H
46,Lyndel,75,Collie,No,H
49,Jere,76,Collie,No,H
50,Rabi,30,Callejero,No,H
52,Nickie,85,Caniche,Si,H
53,El,68,Caniche,Si,H
55,Rozalie,3,Ovejero,Si,H
57,Sollie,96,Callejero,Si,H
58,Madeline,17,Callejero,Si,H
59,Cecilius,91,Bulldog,No,H
60,Zebulen,26,Caniche,No,H
63,Brunhilda,58,Collie,Si,H
65,Fremont,83,Collie,Si,H
68,Mildrid,11,Caniche,Si,H
69,Charlotta,21,Collie,No,H
72,Ruperta,95,Caniche,No,H
73,Teri,15,Callejero,No,H
74,Agnesse,39,Caniche,Si,H
77,Gertrudis,10,Callejero,Si,H
79,Pace,9,Callejero,No,H
83,Davina,72,Caniche,Si,H
84,Clementina,37,Caniche,No,H
85,Wilton,76,Bulldog,No,H
86,Kelbee,65,Callejero,Si,H
89,Aloisia,25,Ovejero,No,H
90,Larisa,23,Caniche,Si,H
91,Rosabel,13,Caniche,No,H
93,Lutero,49,Collie,Si,H
94,Concordia,6,Caniche,No,H
95,Wendeline,74,Ovejero,Si,H
97,Kendall,64,Callejero,Si,H
100,Lana,94,Caniche,No,H
101,Kirbee,22,Callejero,No,H
103,Turner,69,Callejero,No,H
105,Janelle,46,Ovejero,No,H
106,Helli,29,Collie,Si,H
107,Jilli,38,Callejero,Si,H
108,Ethel,64,Ovejero,No,H
110,Jacinthe,44,Caniche,No,H
113,Madlen,86,Ovejero,Si,H
114,Cherey,49,Ovejero,Si,H
115,Felice,24,Collie,No,H
116,Dunc,98,Caniche,No,H
119,Claude,59,Callejero,No,H
124,Earle,62,Bulldog,No,H
125,Codie,21,Ovejero,Si,H
131,Tildi,23,Callejero,No,H
132,Ivar,34,Bulldog,No,H
133,Drusi,98,Caniche,Si,H
134,Bili,57,Ovejero,No,H
136,Lenci,66,Collie,No,H
138,Erina,35,Bulldog,Si,H
142,Myer,9,Ovejero,No,H
146,Arni,20,Collie,Si,H
147,Casper,47,Caniche,No,H
148,Kay,77,Collie,Si,H
150,Sam,7,Callejero,No,H
152,Clerc,58,Callejero,Si,H
153,Jennifer,44,Collie,Si,H
156,Hamel,33,Bulldog,No,H
157,Vivyanne,98,Caniche,No,H
159,Richart,32,Callejero,Si,H
162,Maddie,32,Ovejero,Si,H
163,Gabriella,43,Caniche,No,H
164,Wylma,76,Ovejero,No,H
166,Davie,24,Callejero,No,H
167,Trixy,34,Collie,No,H
169,Hyatt,28,Bulldog,Si,H
171,Westleigh,85,Ovejero,Si,H
172,Laird,78,Collie,No,H
173,Natty,84,Bulldog,No,H
174,Gustav,93,Collie,No,H
183,Witty,6,Collie,Si,H
186,Marvin,3,Bulldog,No,H
187,Nikolaos,70,Bulldog,No,H
188,Theda,8,Callejero,No,H
189,Ronica,40,Caniche,No,H
190,Andrej,8,Ovejero,No,H
193,Aubrey,74,Collie,Si,H
195,Erda,75,Ovejero,No,H
197,Link,72,Callejero,Si,H
201,Barris,48,Bulldog,Si,H
202,Marshall,99,Ovejero,Si,H
206,Daniella,91,Collie,No,H
207,Aleksandr,56,Callejero,Si,H
208,Winne,53,Caniche,No,H
209,Kaine,87,Bulldog,No,H
210,Bram,21,Callejero,Si,H
211,Diahann,72,Callejero,No,H
213,Milissent,24,Collie,Si,H
214,Mariette,85,Collie,Si,H
215,Edith,39,Ovejero,Si,H
216,Annadiane,87,Bulldog,No,H
217,Cati,67,Collie,Si,H
219,Verina,76,Callejero,Si,H
220,Roxie,89,Caniche,Si,H
221,Kiah,57,Collie,Si,H
222,Brynne,37,Callejero,Si,H
224,Benny,63,Ovejero,No,H
225,Onida,43,Ovejero,No,H
227,Tasia,63,Caniche,Si,H
234,Mario,44,Ovejero,No,H
235,Micky,7,Ovejero,Si,H
236,Marice,40,Bulldog,Si,H
239,Barbabra,96,Ovejero,Si,H
243,Christabel,87,Collie,Si,H
246,Gilburt,4,Callejero,Si,H
251,Carolann,95,Callejero,No,H
259,Hildy,82,Collie,Si,H
260,Mair,98,Ovejero,No,H
263,Dawn,96,Callejero,Si,H
264,Flore,51,Bulldog,Si,H
268,Krystle,14,Callejero,Si,H
272,Missy,71,Caniche,No,H
273,Megan,96,Bulldog,No,H
275,Kariotta,81,Collie,Si,H
277,Bar,30,Bulldog,No,H
278,Inglis,24,Caniche,Si,H
279,Leena,38,Bulldog,No,H
280,Edgar,45,Collie,Si,H
282,Harwilll,17,Collie,Si,H
283,Saidee,58,Collie,Si,H
284,Hebert,97,Bulldog,Si,H
285,Leticia,11,Callejero,Si,H
289,Rusty,12,Caniche,Si,H
290,Caressa,31,Callejero,No,H
291,Mathian,38,Bulldog,Si,H
297,Tisha,69,Ovejero,Si,H
299,Trumann,81,Caniche,Si,H
303,Madella,93,Ovejero,Si,H
305,Angelia,83,Caniche,Si,H
306,Germana,42,Bulldog,Si,H
314,Kerrin,34,Caniche,No,H
315,Mohammed,80,Collie,No,H
316,Jamie,71,Bulldog,No,H
319,Cyndia,3,Collie,Si,H
320,Saw,99,Caniche,No,H
322,Harris,36,Bulldog,No,H
323,Irma,65,Callejero,Si,H
325,Charil,54,Ovejero,Si,H
326,Winston,4,Collie,No,H
327,Mano,34,Bulldog,No,H
331,Garrett,66,Caniche,Si,H
332,Thornie,62,Collie,No,H
333,Aharon,78,Ovejero,No,H
336,Sylvester,26,Callejero,No,H
338,Rikki,35,Callejero,No,H
339,Constantine,9,Callejero,Si,H
340,Belinda,68,Caniche,No,H
341,Nathanil,92,Collie,No,H
342,Evita,94,Callejero,Si,H
344,Cam,94,Collie,No,H
345,Oneida,66,Collie,No,H
346,Cirstoforo,98,Callejero,No,H
347,Adam,56,Collie,No,H
348,Ceil,82,Collie,No,H
352,Domenico,2,Collie,No,H
353,Chevy,54,Collie,Si,H
355,Pru,92,Callejero,No,H
356,Roxanna,94,Ovejero,Si,H
360,Cos,83,Ovejero,Si,H
361,Heywood,57,Collie,Si,H
364,Cathrin,9,Ovejero,No,H
366,Agnesse,26,Ovejero,Si,H
369,Hodge,97,Bulldog,No,H
371,Kerrie,65,Callejero,Si,H
375,Rosaline,92,Ovejero,Si,H
376,Anissa,64,Callejero,Si,H
377,Arnie,90,Callejero,No,H
380,Sofia,78,Bulldog,No,H
382,Alvy,95,Caniche,No,H
383,Cara,49,Caniche,No,H
385,Rutledge,72,Callejero,Si,H
386,Akim,98,Caniche,No,H
389,Barbara-anne,64,Callejero,No,H
391,Torrey,33,Ovejero,Si,H
394,Herman,58,Collie,Si,H
396,Wylma,43,Ovejero,Si,H
399,Yolane,47,Ovejero,Si,H
400,Rayner,8,Caniche,Si,H
401,Adaline,66,Ovejero,Si,H
402,Nadiya,29,Bulldog,No,H
405,Johnathon,57,Ovejero,Si,H
407,Dita,21,Caniche,Si,H
408,Victor,83,Callejero,Si,H
410,Brendon,30,Ovejero,No,H
413,Clementius,75,Callejero,Si,H
415,Franky,73,Caniche,Si,H
417,Emilie,19,Bulldog,No,H
418,Blondie,4,Ovejero,Si,H
421,Jaymee,27,Callejero,No,H
423,Donielle,88,Caniche,No,H
427,Angela,89,Bulldog,Si,H
428,Franklin,19,Ovejero,No,H
431,Roby,50,Collie,Si,H
436,Lorry,63,Ovejero,No,H
438,Spike,92,Bulldog,Si,H
439,Marielle,31,Ovejero,Si,H
441,Tracy,98,Callejero,Si,H
442,Zita,95,Caniche,Si,H
443,Letisha,70,Caniche,Si,H
445,Edward,9,Bulldog,No,H
447,Judah,55,Callejero,Si,H
453,Cornell,60,Bulldog,No,H
456,Vlad,66,Collie,No,H
457,Hersh,33,Caniche,No,H
459,Algernon,64,Bulldog,No,H
460,Maible,13,Callejero,Si,H
466,Elvyn,74,Ovejero,No,H
467,Iris,27,Callejero,No,H
468,Brian,27,Caniche,Si,H
471,Meta,21,Callejero,Si,H
472,Tedi,76,Caniche,Si,H
475,Horatia,63,Bulldog,Si,H
477,Ulla,33,Ovejero,Si,H
478,Omero,35,Caniche,No,H
483,Mikey,76,Collie,No,H
484,Fulton,10,Caniche,No,H
486,Peg,3,Collie,Si,H
487,Tabor,38,Ovejero,No,H
491,Hilary,35,Callejero,No,H
494,Sallee,21,Caniche,Si,H
499,Kristan,99,Bulldog,Si,H
500,Dina,62,Caniche,Si,H
